,Ticker,Price,One-Year Price Return,Number of Shares to Buy,Six-Month Price Return,Three-Month Price Return,One-Month Price Return,HQM Score,One-Year Return Percentile,Six-Month Return Percentile,Three-Month Return Percentile,One-Month Return Percentile
0,NVDA,116.14,1.4811106,17,0.6104008350593759,0.2713947698323677,-0.0808800345943168,0.775,1.0,0.96,0.98,0.16
1,NRG,81.86,1.1615696,24,0.5940556042483274,0.0027624309392265192,0.07689046544980012,0.74,0.98,0.94,0.18,0.86
2,GPS,23.11,1.1055133,86,0.18409130688490838,0.08085201814923511,-0.0394845750905178,0.53,0.96,0.28,0.56,0.32
3,HWM,93.92,0.90342426,21,0.517578887176635,0.16223756667961053,0.1550967594225962,0.9099999999999999,0.94,0.92,0.82,0.96
4,SLG,62.23,0.88520014,32,0.48120870731538123,0.15117740219905565,-0.012278268920778622,0.795,0.92,0.88,0.78,0.6
5,ANET,346.19,0.883273,5,0.3038679888076548,0.1037110195737288,-0.03360971491967317,0.665,0.9,0.72,0.66,0.38
6,GE,167.96,0.8365227,11,0.48963198436671107,0.051526928486428356,0.031378571807380774,0.725,0.88,0.9,0.4,0.72
7,IRM,107.89,0.8211832,18,0.6350628802832665,0.3497164006577661,0.0791157808274497,0.9299999999999999,0.86,0.98,1.0,0.88
8,PGR,222.33,0.7832067,8,0.22221725452511537,0.041022919821634696,0.05871429443359375,0.625,0.84,0.48,0.38,0.8
9,AVGO,156.16,0.76399374,12,0.25692499325118817,0.13516264919520055,-0.07804936143347932,0.59,0.82,0.6,0.74,0.2
10,UHS,220.48,0.66506076,9,0.37600153661717006,0.23365134451169248,0.19904279896039753,0.88,0.8,0.8,0.94,0.98
11,TT,339.4,0.6395291,5,0.26706167525049096,0.031017408373395897,-0.019981558331557722,0.56,0.78,0.66,0.32,0.48
12,GRMN,169.66,0.6368227,11,0.4143356627789995,0.0032451877094673656,-0.023483375745692713,0.56,0.76,0.84,0.2,0.44
13,ALL,171.96,0.6309128,11,0.0967801804374266,0.022736562436133253,0.024730404717540087,0.445,0.74,0.08,0.28,0.68
14,LLY,908.05,0.61790645,2,0.22641845860024248,0.19060418066976217,-0.03563082908120437,0.615,0.72,0.52,0.86,0.36
15,NTAP,125.87,0.6113514,15,0.455418480937126,0.15897366476813513,-0.043468301166458445,0.66,0.7,0.86,0.8,0.28
16,WRK,51.51,0.59572494,38,0.2383571998218634,0.05958104485877039,-0.03899254127025722,0.505,0.68,0.54,0.46,0.34
17,HRB,56.39,0.5909476,35,0.21514632466798086,0.0698398283543343,0.011479809679792601,0.56,0.66,0.44,0.5,0.64
18,KLAC,793.83,0.56668663,2,0.2435662299019383,0.08755758942902377,-0.0845844878865435,0.485,0.64,0.58,0.58,0.14
19,CTAS,759.12,0.55451643,2,0.2580139913274121,0.10385339776416254,0.04641254716878742,0.67,0.62,0.62,0.68,0.76
20,COST,864.82,0.54620326,2,0.2144784694490658,0.11331944422072925,0.017961592620265532,0.595,0.6,0.42,0.7,0.66
21,TYL,579.28,0.5246811,3,0.34185780152136874,0.1947613117554515,0.09521297741415272,0.79,0.58,0.78,0.9,0.9
22,ISRG,469.23,0.5182637,4,0.23843329949382497,0.221348832620629,0.07127691268381892,0.7150000000000001,0.56,0.56,0.92,0.82
23,CMG,51.68,0.51150334,38,-0.005824988796122751,-0.1865695981362842,-0.10495325938916616,0.17,0.54,0.02,0.04,0.08
24,FITB,39.42,0.50502706,50,0.22483687554893378,0.03479713653529102,-0.01989067696363006,0.47,0.52,0.5,0.36,0.5
25,KEY,15.69,0.4981203,127,0.193479263531954,0.05331811888347296,-0.01876173827574011,0.435,0.5,0.3,0.42,0.52
26,NFLX,648.02,0.49431205,3,0.16861429111078433,0.05599199538899396,-0.012646251371807714,0.435,0.48,0.24,0.44,0.58
27,RCL,154.58,0.48642647,12,0.326070191607954,0.09786930739079155,-0.1016968840875607,0.485,0.46,0.76,0.62,0.1
28,HIG,107.96,0.483652,18,0.20348067520972518,0.07029233763841895,0.04825712519459623,0.53,0.44,0.38,0.52,0.78
29,IFF,96.61,0.48312175,20,0.21105903800745732,0.003968902402137764,-0.015288961274776868,0.395,0.42,0.4,0.22,0.54
30,LDOS,144.82,0.48247945,13,0.20081551348147939,-0.00953085031899081,-0.04604433401480749,0.29000000000000004,0.4,0.36,0.14,0.26
31,WDC,61.58,0.47064555,32,0.11275752911567336,-0.16263256643429555,-0.20088238019691879,0.155,0.38,0.14,0.06,0.04
32,BSX,75.92,0.46942723,26,0.16853927570425992,0.033065728341431455,-0.028410561019241814,0.335,0.36,0.22,0.34,0.42
33,MSI,412.0,0.46738243,4,0.2977127604200961,0.1440924825355427,0.04022014386648855,0.635,0.34,0.7,0.76,0.74
34,EFX,292.38,0.46611178,6,0.1829344558280096,0.1838611856049658,0.10498865509636046,0.585,0.32,0.26,0.84,0.92
35,AXP,238.99,0.46408498,8,0.1467760204600884,-0.007568986298356181,-0.04262307888285837,0.24,0.3,0.2,0.16,0.3
36,STX,98.2,0.46305346,20,0.14339940765850998,0.027362911069241977,-0.09667925880547304,0.22,0.28,0.18,0.3,0.12
37,GS,491.94,0.46142495,4,0.31597169498637484,0.07949713573034674,-0.022026930965489872,0.5,0.26,0.74,0.54,0.46
38,MMM,125.35,0.45875573,15,0.6562402375084715,0.2611966598222751,0.21333850969289822,0.8,0.24,1.0,0.96,1.0
39,QCOM,169.47,0.45854223,11,0.13988836338205624,-0.09951570449704357,-0.19161418758775678,0.13,0.22,0.16,0.08,0.06
40,APH,64.79,0.45259762,30,0.2616237895236328,0.009539690638556675,-0.07981824249792496,0.315,0.2,0.64,0.24,0.18
41,MU,97.44,0.44864535,20,0.19734282483392654,-0.21861044491214332,-0.23570472920137192,0.14,0.18,0.34,0.02,0.02
42,PHM,123.58,0.44776833,16,0.21581812460856037,0.06555698269723198,-0.007867660137662309,0.43,0.16,0.46,0.48,0.62
43,MHK,146.88,0.44193482,13,0.27411525362707295,0.19395227516526584,0.10685763572474707,0.66,0.14,0.68,0.88,0.94
44,NOW,818.8,0.44142246,2,0.058209234722516275,0.13466920724667517,0.0762497028628577,0.43,0.12,0.04,0.72,0.84
45,FTI,26.19,0.44048274,76,0.38457485672868486,-0.016877982735530275,-0.06464283806937081,0.315,0.1,0.82,0.12,0.22
46,TDG,1243.69,0.43286276,1,0.10820124622099353,-0.02514565919709183,-0.028746629124365482,0.17500000000000002,0.08,0.12,0.1,0.4
47,URI,703.11,0.4292804,2,0.10663097449391686,0.012441163783784353,-0.0537005207058362,0.165,0.06,0.1,0.26,0.24
48,BK,63.55,0.42499995,31,0.1968360869344381,0.0973444256612555,-0.015225382837999775,0.38,0.04,0.32,0.6,0.56
49,IT,479.82,0.4233129,4,0.07525102596073201,0.0990677308894479,0.02943574563621882,0.355,0.02,0.06,0.64,0.7
